,power kW
0,0.3406126622673959
1,0.2890046831359723
2,0.2580398956571181
3,0.23739670400454865
4,0.22707510817826393
5,0.2167535123519792
6,0.2167535123519792
7,0.20643191652569448
8,0.20643191652569448
9,0.2167535123519792
10,0.22707510817826393
11,0.24771829983083338
12,0.31996947061482645
13,0.40254223722510424
14,0.5367229829668057
15,0.6502605370559377
16,0.6399389412296529
17,0.5883309620982292
18,0.5367229829668057
19,0.5160797913142362
20,0.5057581954879514
21,0.49543659966166675
22,0.48511500383538203
23,0.48511500383538203
24,0.5057581954879514
25,0.5057581954879514
26,0.48511500383538203
27,0.4644718121828126
28,0.45415021635652786
29,0.4747934080090973
30,0.48511500383538203
31,0.5470445787930904
32,0.6605821328822223
33,0.8050844744502085
34,0.9186220285393405
35,0.9495868160181946
36,0.9495868160181946
37,0.9392652201919099
38,0.9083004327130557
39,0.8670140494079168
40,0.8257276661027779
41,0.8050844744502085
42,0.7947628786239238
43,0.7431548994925001
44,0.6915469203610766
45,0.6089741537507987
46,0.5057581954879514
47,0.4231854288776737
48,0.3406126622673959
49,0.2890046831359723
50,0.2580398956571181
51,0.23739670400454865
52,0.22707510817826393
53,0.2167535123519792
54,0.2167535123519792
55,0.20643191652569448
56,0.20643191652569448
57,0.2167535123519792
58,0.22707510817826393
59,0.24771829983083338
60,0.31996947061482645
61,0.40254223722510424
62,0.5367229829668057
63,0.6502605370559377
64,0.6399389412296529
65,0.5883309620982292
66,0.5367229829668057
67,0.5160797913142362
68,0.5057581954879514
69,0.49543659966166675
70,0.48511500383538203
71,0.48511500383538203
72,0.5057581954879514
73,0.5057581954879514
74,0.48511500383538203
75,0.4644718121828126
76,0.45415021635652786
77,0.4747934080090973
78,0.48511500383538203
79,0.5470445787930904
80,0.6605821328822223
81,0.8050844744502085
82,0.9186220285393405
83,0.9495868160181946
84,0.9495868160181946
85,0.9392652201919099
86,0.9083004327130557
87,0.8670140494079168
88,0.8257276661027779
89,0.8050844744502085
90,0.7947628786239238
91,0.7431548994925001
92,0.6915469203610766
93,0.6089741537507987
94,0.5057581954879514
95,0.4231854288776737
96,0.3406126622673959
97,0.2890046831359723
98,0.2580398956571181
99,0.23739670400454865
100,0.22707510817826393
101,0.2167535123519792
102,0.2167535123519792
103,0.20643191652569448
104,0.20643191652569448
105,0.2167535123519792
106,0.22707510817826393
107,0.24771829983083338
108,0.31996947061482645
109,0.40254223722510424
110,0.5367229829668057
111,0.6502605370559377
112,0.6399389412296529
113,0.5883309620982292
114,0.5367229829668057
115,0.5160797913142362
116,0.5057581954879514
117,0.49543659966166675
118,0.48511500383538203
119,0.48511500383538203
120,0.5057581954879514
121,0.5057581954879514
122,0.48511500383538203
123,0.4644718121828126
124,0.45415021635652786
125,0.4747934080090973
126,0.48511500383538203
127,0.5470445787930904
128,0.6605821328822223
129,0.8050844744502085
130,0.9186220285393405
131,0.9495868160181946
132,0.9495868160181946
133,0.9392652201919099
134,0.9083004327130557
135,0.8670140494079168
136,0.8257276661027779
137,0.8050844744502085
138,0.7947628786239238
139,0.7431548994925001
140,0.6915469203610766
141,0.6089741537507987
142,0.5057581954879514
143,0.4231854288776737
144,0.3406126622673959
145,0.2890046831359723
146,0.2580398956571181
147,0.23739670400454865
148,0.22707510817826393
149,0.2167535123519792
150,0.2167535123519792
151,0.20643191652569448
152,0.20643191652569448
153,0.2167535123519792
154,0.22707510817826393
155,0.24771829983083338
156,0.31996947061482645
157,0.40254223722510424
158,0.5367229829668057
159,0.6502605370559377
160,0.6399389412296529
161,0.5883309620982292
162,0.5367229829668057
163,0.5160797913142362
164,0.5057581954879514
165,0.49543659966166675
166,0.48511500383538203
167,0.48511500383538203
168,0.5057581954879514
169,0.5057581954879514
170,0.48511500383538203
171,0.4644718121828126
172,0.45415021635652786
173,0.4747934080090973
174,0.48511500383538203
175,0.5470445787930904
176,0.6605821328822223
177,0.8050844744502085
178,0.9186220285393405
179,0.9495868160181946
180,0.9495868160181946
181,0.9392652201919099
182,0.9083004327130557
183,0.8670140494079168
184,0.8257276661027779
185,0.8050844744502085
186,0.7947628786239238
187,0.7431548994925001
188,0.6915469203610766
189,0.6089741537507987
190,0.5057581954879514
191,0.4231854288776737
192,0.3406126622673959
193,0.2890046831359723
194,0.2580398956571181
195,0.23739670400454865
196,0.22707510817826393
197,0.2167535123519792
198,0.2167535123519792
199,0.20643191652569448
200,0.20643191652569448
201,0.2167535123519792
202,0.22707510817826393
203,0.24771829983083338
204,0.31996947061482645
205,0.40254223722510424
206,0.5367229829668057
207,0.6502605370559377
208,0.6399389412296529
209,0.5883309620982292
210,0.5367229829668057
211,0.5160797913142362
212,0.5057581954879514
213,0.49543659966166675
214,0.48511500383538203
215,0.48511500383538203
216,0.5057581954879514
217,0.5057581954879514
218,0.48511500383538203
219,0.4644718121828126
220,0.45415021635652786
221,0.4747934080090973
222,0.48511500383538203
223,0.5470445787930904
224,0.6605821328822223
225,0.8050844744502085
226,0.9186220285393405
227,0.9495868160181946
228,0.9495868160181946
229,0.9392652201919099
230,0.9083004327130557
231,0.8670140494079168
232,0.8257276661027779
233,0.8050844744502085
234,0.7947628786239238
235,0.7431548994925001
236,0.6915469203610766
237,0.6089741537507987
238,0.5057581954879514
239,0.4231854288776737
240,0.40254223722510424
241,0.33029106644111117
242,0.2890046831359723
243,0.2580398956571181
244,0.23739670400454865
245,0.22707510817826393
246,0.2167535123519792
247,0.2167535123519792
248,0.2167535123519792
249,0.2167535123519792
250,0.22707510817826393
251,0.23739670400454865
252,0.27868308730968755
253,0.33029106644111117
254,0.40254223722510424
255,0.4747934080090973
256,0.526401387140521
257,0.5780093662719445
258,0.5883309620982292
259,0.5883309620982292
260,0.5883309620982292
261,0.5883309620982292
262,0.5780093662719445
263,0.5780093662719445
264,0.6089741537507987
265,0.6089741537507987
266,0.598652557924514
267,0.5573661746193751
268,0.5367229829668057
269,0.5470445787930904
270,0.5470445787930904
271,0.5780093662719445
272,0.6502605370559377
273,0.7534764953187848
274,0.856692453581632
275,0.9186220285393405
276,0.9186220285393405
277,0.9289436243656252
278,0.9186220285393405
279,0.8670140494079168
280,0.8257276661027779
281,0.7637980911450696
282,0.7534764953187848
283,0.7121901120136459
284,0.6605821328822223
285,0.6089741537507987
286,0.5367229829668057
287,0.4747934080090973
288,0.4231854288776737
289,0.3509342580936806
290,0.3096478747885417
291,0.27868308730968755
292,0.2580398956571181
293,0.23739670400454865
294,0.22707510817826393
295,0.2167535123519792
296,0.2167535123519792
297,0.2167535123519792
298,0.2167535123519792
299,0.22707510817826393
300,0.24771829983083338
301,0.27868308730968755
302,0.31996947061482645
303,0.3922206413988195
304,0.45415021635652786
305,0.5470445787930904
306,0.598652557924514
307,0.6399389412296529
308,0.7018685161873612
309,0.7225117078399307
310,0.7534764953187848
311,0.7637980911450696
312,0.7947628786239238
313,0.7947628786239238
