,Charging Power (kW)
255,0.01505263407801299
256,0.006021053631205197
257,0.0030105268156025984
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.45157902234038977
287,0.6021053631205197
288,0.8429475083687274
289,0.9700586405830594
290,1.0737545642315933
291,1.1339651005436453
292,1.1440001899289873
293,0.9031580446807795
294,0.7526317039006495
295,0.5418948268084677
296,0.4214737541843637
297,0.3010526815602598
298,0.21073687709218186
299,0.12042107262410393
300,0.07827369720566754
301,0.06021053631205196
302,0.01806316089361559
303,0.01505263407801299
304,0.006021053631205197
305,0.0030105268156025984
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.45157902234038977
335,0.6021053631205197
336,0.8429475083687274
337,0.9700586405830594
338,1.0737545642315933
339,1.1339651005436453
340,1.1440001899289873
341,0.9031580446807795
342,0.7526317039006495
343,0.5418948268084677
344,0.4214737541843637
345,0.3010526815602598
346,0.21073687709218186
347,0.12042107262410393
348,0.07827369720566754
349,0.06021053631205196
350,0.01806316089361559
351,0.01505263407801299
352,0.006021053631205197
353,0.0030105268156025984
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.45157902234038977
383,0.6021053631205197
384,0.8429475083687274
385,0.9700586405830594
386,1.0737545642315933
387,1.1339651005436453
388,1.1440001899289873
389,0.9031580446807795
390,0.7526317039006495
391,0.5418948268084677
392,0.4214737541843637
393,0.3010526815602598
394,0.21073687709218186
395,0.12042107262410393
396,0.07827369720566754
397,0.06021053631205196
398,0.01806316089361559
399,0.01505263407801299
400,0.006021053631205197
401,0.0030105268156025984
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.45157902234038977
431,0.6021053631205197
432,0.8429475083687274
433,0.9700586405830594
434,1.0737545642315933
435,1.1339651005436453
436,1.1440001899289873
437,0.9031580446807795
438,0.7526317039006495
439,0.5418948268084677
440,0.4214737541843637
441,0.3010526815602598
442,0.21073687709218186
443,0.12042107262410393
444,0.07827369720566754
445,0.06021053631205196
446,0.01806316089361559
