,Power (kW)
213,4.637423181508549
214,4.661204838849619
215,4.684986496190688
216,4.625532352838015
217,4.459060751450528
218,4.245025835380902
219,4.209353349369298
220,4.209353349369298
221,4.185571692028229
222,4.11422672000502
223,4.019100090640742
224,3.9001918039353947
225,3.6980477165363044
226,3.2105237410443803
227,2.485183192141761
228,1.9619867306382321
229,1.7598426432391416
230,1.6647160138748636
231,1.5576985558400511
232,1.4744627551463079
233,1.3674452971114952
234,1.2604278390766825
235,1.1653012097124047
236,1.0820654090186614
237,1.0463929230070572
238,0.9869387796543835
239,0.9274846363017099
240,0.8323580069374318
241,0.915593807631175
242,0.9274846363017099
243,0.9037029789606403
244,0.9037029789606403
245,0.8918121502901055
246,0.8918121502901055
247,0.8918121502901055
248,0.915593807631175
249,0.9393754649722446
250,0.9512662936427794
251,1.0345020943365224
252,1.1534103810418699
253,1.3912269544525646
254,1.6884976712159332
255,2.1284583320257187
256,2.7586722515640596
257,3.424558657114005
258,4.185571692028229
259,4.506624066132667
260,4.5898598668264095
261,4.637423181508549
262,4.661204838849619
263,4.684986496190688
264,4.625532352838015
265,4.459060751450528
266,4.245025835380902
267,4.209353349369298
268,4.209353349369298
269,4.185571692028229
270,4.11422672000502
271,4.019100090640742
272,3.9001918039353947
273,3.6980477165363044
274,3.2105237410443803
275,2.485183192141761
276,1.9619867306382321
277,1.7598426432391416
278,1.6647160138748636
279,1.5576985558400511
280,1.4744627551463079
281,1.3674452971114952
282,1.2604278390766825
283,1.1653012097124047
284,1.0820654090186614
285,1.0463929230070572
286,0.9869387796543835
287,0.9274846363017099
288,0.8323580069374318
289,0.915593807631175
290,0.9274846363017099
291,0.9037029789606403
292,0.9037029789606403
293,0.8918121502901055
294,0.8918121502901055
295,0.8918121502901055
296,0.915593807631175
297,0.9393754649722446
298,0.9512662936427794
299,1.0345020943365224
300,1.1534103810418699
301,1.3912269544525646
302,1.6884976712159332
303,2.1284583320257187
304,2.7586722515640596
305,3.424558657114005
306,4.185571692028229
307,4.506624066132667
308,4.5898598668264095
309,4.637423181508549
310,4.661204838849619
311,4.684986496190688
312,4.625532352838015
313,4.459060751450528
314,4.245025835380902
315,4.209353349369298
316,4.209353349369298
317,4.185571692028229
318,4.11422672000502
319,4.019100090640742
320,3.9001918039353947
321,3.6980477165363044
322,3.2105237410443803
323,2.485183192141761
324,1.9619867306382321
325,1.7598426432391416
326,1.6647160138748636
327,1.5576985558400511
328,1.4744627551463079
329,1.3674452971114952
330,1.2604278390766825
331,1.1653012097124047
332,1.0820654090186614
333,1.0463929230070572
334,0.9869387796543835
335,0.9274846363017099
336,0.8323580069374318
337,0.915593807631175
338,0.9274846363017099
339,0.9037029789606403
340,0.9037029789606403
341,0.8918121502901055
342,0.8918121502901055
343,0.8918121502901055
344,0.915593807631175
345,0.9393754649722446
346,0.9512662936427794
347,1.0345020943365224
348,1.1534103810418699
349,1.3912269544525646
350,1.6884976712159332
351,2.1284583320257187
352,2.7586722515640596
353,3.424558657114005
354,4.185571692028229
355,4.506624066132667
356,4.5898598668264095
357,4.637423181508549
358,4.661204838849619
359,4.684986496190688
360,4.625532352838015
361,4.459060751450528
362,4.245025835380902
363,4.209353349369298
364,4.209353349369298
365,4.185571692028229
366,4.11422672000502
367,4.019100090640742
368,3.9001918039353947
369,3.6980477165363044
370,3.2105237410443803
371,2.485183192141761
372,1.9619867306382321
373,1.7598426432391416
374,1.6647160138748636
375,1.5576985558400511
376,1.4744627551463079
377,1.3674452971114952
378,1.2604278390766825
379,1.1653012097124047
380,1.0820654090186614
381,1.0463929230070572
382,0.9869387796543835
383,0.9274846363017099
384,0.8442488356079666
385,0.915593807631175
386,0.9274846363017099
387,0.9037029789606403
388,0.8918121502901055
389,0.8918121502901055
390,0.8918121502901055
391,0.8799213216195708
392,0.9037029789606403
393,0.9037029789606403
394,0.9037029789606403
395,0.9274846363017099
396,0.9750479509838487
397,1.0345020943365224
398,1.1653012097124047
399,1.3436636397704256
400,1.6290435278632596
401,2.0333317026614406
402,2.711108936881921
403,3.008379653645289
404,3.0797246256684976
405,3.103506283009567
406,3.1153971116801022
407,3.0916154543390326
408,2.8656897095988727
409,2.687327279540851
410,2.485183192141761
411,2.390056562777483
412,2.3187115907542744
413,2.28303910474267
414,2.247366618731066
415,2.211694132719462
416,2.1403491606962533
417,2.0452225313319756
418,1.8787509299444891
419,1.5458077271695163
420,1.4268994404641688
421,1.3674452971114952
422,1.3198819824293564
423,1.248537010406148
424,1.200973695724009
425,1.1771920383829393
426,1.1534103810418699
427,1.1177378950302657
428,1.058283751677592
429,1.0226112656659878
430,0.9750479509838487
431,0.9750479509838487
432,0.8680304929490361
433,0.9393754649722446
434,0.9393754649722446
435,0.9037029789606403
436,0.8799213216195708
437,0.8680304929490361
438,0.8680304929490361
439,0.8561396642785013
440,0.8561396642785013
441,0.8442488356079666
442,0.8323580069374318
443,0.8442488356079666
444,0.8799213216195708
445,0.9037029789606403
446,0.9393754649722446
447,0.9631571223133141
448,0.9988296083249182
449,1.058283751677592
450,1.1296287237008003
451,1.2604278390766825
452,1.3436636397704256
453,1.3793361257820298
454,1.415008611793634
455,1.415008611793634
456,1.3555544684409604
457,1.3436636397704256
458,1.2842094964177522
459,1.2842094964177522
460,1.2842094964177522
461,1.2723186677472174
462,1.2604278390766825
463,1.2366461817356131
464,1.2604278390766825
465,1.248537010406148
466,1.189082867053474
467,1.2366461817356131
468,1.2604278390766825
469,1.2723186677472174
470,1.2604278390766825
471,1.189082867053474
