,Power (kW)
0,0.3632042459018363
1,0.30817329955307327
2,0.2751547317438154
3,0.25314235320431017
4,0.24213616393455753
5,0.23112997466480492
6,0.23112997466480492
7,0.2201237853950523
8,0.2201237853950523
9,0.23112997466480492
10,0.24213616393455753
11,0.2641485424740628
12,0.3411918673623311
13,0.429241381520352
14,0.572321842027136
15,0.6933899239944148
16,0.6823837347246622
17,0.627352788375899
18,0.572321842027136
19,0.5503094634876308
20,0.5393032742178782
21,0.5282970849481256
22,0.5172908956783729
23,0.5172908956783729
24,0.5393032742178782
25,0.5393032742178782
26,0.5172908956783729
27,0.4952785171388677
28,0.48427232786911506
29,0.5062847064086203
30,0.5172908956783729
31,0.5833280312968886
32,0.7043961132641674
33,0.858482763040704
34,0.9795508450079827
35,1.0125694128172407
36,1.0125694128172407
37,1.001563223547488
38,0.9685446557382301
39,0.9245198986592197
40,0.8804951415802093
41,0.858482763040704
42,0.8474765737709514
43,0.7924456274221883
44,0.7374146810734252
45,0.6493651669154042
46,0.5393032742178782
47,0.4512537600598572
48,0.429241381520352
49,0.3521980566320837
50,0.30817329955307327
51,0.2751547317438154
52,0.25314235320431017
53,0.24213616393455753
54,0.23112997466480492
55,0.23112997466480492
56,0.23112997466480492
57,0.23112997466480492
58,0.24213616393455753
59,0.25314235320431017
60,0.29716711028332066
61,0.3521980566320837
62,0.429241381520352
63,0.5062847064086203
64,0.5613156527573834
65,0.6163465991061465
66,0.627352788375899
67,0.627352788375899
68,0.627352788375899
69,0.627352788375899
70,0.6163465991061465
71,0.6163465991061465
72,0.6493651669154042
73,0.6493651669154042
74,0.6383589776456516
75,0.5943342205666413
76,0.572321842027136
77,0.5833280312968886
78,0.5833280312968886
79,0.6163465991061465
80,0.6933899239944148
81,0.8034518166919409
82,0.9135137093894671
83,0.9795508450079827
84,0.9795508450079827
85,0.9905570342777354
86,0.9795508450079827
87,0.9245198986592197
88,0.8804951415802093
89,0.8144580059616935
90,0.8034518166919409
91,0.7594270596129304
92,0.7043961132641674
93,0.6493651669154042
94,0.572321842027136
95,0.5062847064086203
96,0.4512537600598572
97,0.374210435171589
98,0.3301856780925784
99,0.29716711028332066
100,0.2751547317438154
101,0.25314235320431017
102,0.24213616393455753
103,0.23112997466480492
104,0.23112997466480492
105,0.23112997466480492
106,0.23112997466480492
107,0.24213616393455753
108,0.2641485424740628
109,0.29716711028332066
110,0.3411918673623311
111,0.4182351922505994
112,0.48427232786911506
113,0.5833280312968886
114,0.6383589776456516
115,0.6823837347246622
116,0.748420870343178
117,0.770433248882683
118,0.8034518166919409
119,0.8144580059616935
120,0.8474765737709514
121,0.8474765737709514
122,0.8144580059616935
123,0.748420870343178
124,0.6933899239944148
125,0.6933899239944148
126,0.7043961132641674
127,0.71540230253392
128,0.7924456274221883
129,0.8694889523104566
130,0.9465322771987249
131,0.9905570342777354
132,1.0125694128172407
133,0.9905570342777354
134,0.9685446557382301
135,0.9355260879289723
136,0.9025075201197144
137,0.858482763040704
138,0.8474765737709514
139,0.7924456274221883
140,0.7374146810734252
141,0.6603713561851569
142,0.5503094634876308
143,0.46225994932960984
144,0.3632042459018363
145,0.30817329955307327
146,0.2751547317438154
147,0.25314235320431017
148,0.24213616393455753
149,0.23112997466480492
150,0.23112997466480492
151,0.2201237853950523
152,0.2201237853950523
153,0.23112997466480492
154,0.24213616393455753
155,0.2641485424740628
156,0.3411918673623311
157,0.429241381520352
158,0.572321842027136
159,0.6933899239944148
160,0.6823837347246622
161,0.627352788375899
