,Power (kW)
0,0.35401846131791964
1,0.30037930051217426
2,0.268195804028727
3,0.24674013970642886
4,0.23601230754527977
5,0.22528447538413068
6,0.22528447538413068
7,0.21455664322298162
8,0.21455664322298162
9,0.22528447538413068
10,0.23601230754527977
11,0.2574679718675779
12,0.33256279699562147
13,0.41838545428481416
14,0.5578472723797522
15,0.6758534261523921
16,0.6651255939912429
17,0.6114864331854976
18,0.5578472723797522
19,0.536391608057454
20,0.5256637758963049
21,0.5149359437351558
22,0.5042081115740067
23,0.5042081115740067
24,0.5256637758963049
25,0.5256637758963049
26,0.5042081115740067
27,0.4827524472517086
28,0.47202461509055954
29,0.4934802794128577
30,0.5042081115740067
31,0.5685751045409013
32,0.6865812583135411
33,0.8367709085696283
34,0.9547770623422681
35,0.9869605588257154
36,0.9869605588257154
37,0.9762327266645663
38,0.9440492301811191
39,0.9011379015365227
40,0.8582265728919265
41,0.8367709085696283
42,0.8260430764084792
43,0.7724039156027337
44,0.7187647547969884
45,0.6329420975077957
46,0.5256637758963049
47,0.4398411186071123
48,0.41838545428481416
49,0.34329062915677055
50,0.30037930051217426
51,0.268195804028727
52,0.24674013970642886
53,0.23601230754527977
54,0.22528447538413068
55,0.22528447538413068
56,0.22528447538413068
57,0.22528447538413068
58,0.23601230754527977
59,0.24674013970642886
60,0.2896514683510252
61,0.34329062915677055
62,0.41838545428481416
63,0.4934802794128577
64,0.5471194402186031
65,0.6007586010243485
66,0.6114864331854976
67,0.6114864331854976
68,0.6114864331854976
69,0.6114864331854976
70,0.6007586010243485
71,0.6007586010243485
72,0.6329420975077957
73,0.6329420975077957
74,0.6222142653466466
75,0.5793029367020504
76,0.5578472723797522
77,0.5685751045409013
78,0.5685751045409013
79,0.6007586010243485
80,0.6758534261523921
81,0.7831317477638828
82,0.8904100693753736
83,0.9547770623422681
84,0.9547770623422681
85,0.9655048945034173
86,0.9547770623422681
87,0.9011379015365227
88,0.8582265728919265
89,0.7938595799250319
90,0.7831317477638828
91,0.7402204191192865
92,0.6865812583135411
93,0.6329420975077957
94,0.5578472723797522
95,0.4934802794128577
96,0.4398411186071123
97,0.36474629347906873
98,0.3218349648344724
99,0.2896514683510252
100,0.268195804028727
101,0.24674013970642886
102,0.23601230754527977
103,0.22528447538413068
104,0.22528447538413068
105,0.22528447538413068
106,0.22528447538413068
107,0.23601230754527977
108,0.2574679718675779
109,0.2896514683510252
110,0.33256279699562147
111,0.4076576221236651
112,0.47202461509055954
113,0.5685751045409013
114,0.6222142653466466
115,0.6651255939912429
116,0.7294925869581375
117,0.7509482512804355
118,0.7831317477638828
119,0.7938595799250319
120,0.8260430764084792
121,0.8260430764084792
122,0.7938595799250319
123,0.7294925869581375
124,0.6758534261523921
125,0.6758534261523921
126,0.6865812583135411
127,0.6973090904746903
128,0.7724039156027337
129,0.8474987407307774
130,0.9225935658588209
131,0.9655048945034173
132,0.9869605588257154
133,0.9655048945034173
134,0.9440492301811191
135,0.9118657336976718
136,0.8796822372142246
137,0.8367709085696283
138,0.8260430764084792
139,0.7724039156027337
140,0.7187647547969884
141,0.6436699296689448
142,0.536391608057454
143,0.45056895076826137
144,0.35401846131791964
145,0.30037930051217426
146,0.268195804028727
147,0.24674013970642886
148,0.23601230754527977
149,0.22528447538413068
150,0.22528447538413068
151,0.21455664322298162
152,0.21455664322298162
153,0.22528447538413068
154,0.23601230754527977
155,0.2574679718675779
156,0.33256279699562147
157,0.41838545428481416
158,0.5578472723797522
159,0.6758534261523921
160,0.6651255939912429
161,0.6114864331854976
162,0.5578472723797522
163,0.536391608057454
164,0.5256637758963049
165,0.5149359437351558
166,0.5042081115740067
167,0.5042081115740067
168,0.5256637758963049
169,0.5256637758963049
170,0.5042081115740067
171,0.4827524472517086
172,0.47202461509055954
173,0.4934802794128577
174,0.5042081115740067
175,0.5685751045409013
176,0.6865812583135411
177,0.8367709085696283
178,0.9547770623422681
179,0.9869605588257154
180,0.9869605588257154
181,0.9762327266645663
182,0.9440492301811191
183,0.9011379015365227
184,0.8582265728919265
185,0.8367709085696283
186,0.8260430764084792
187,0.7724039156027337
188,0.7187647547969884
189,0.6329420975077957
190,0.5256637758963049
191,0.4398411186071123
192,0.35401846131791964
193,0.30037930051217426
194,0.268195804028727
195,0.24674013970642886
196,0.23601230754527977
197,0.22528447538413068
198,0.22528447538413068
199,0.21455664322298162
