,Power (kW)
213,9.279446088448871
214,9.327032991466558
215,9.374619894484246
216,9.25565263694003
217,8.922544315816223
218,8.494262188657045
219,8.422881834130514
220,8.422881834130514
221,8.375294931112828
222,8.232534222059769
223,8.042186609989022
224,7.80425209490059
225,7.399763419250254
226,6.424231907387681
227,4.972831365348242
228,3.925919498959138
229,3.5214308233088025
230,3.3310832112380564
231,3.1169421476584676
232,2.9503879870965646
233,2.736246923516975
234,2.522105859937386
235,2.3317582478666394
236,2.165204087304737
237,2.093823732778207
238,1.9748564752339905
239,1.8558892176897746
240,1.6655416056190282
241,1.8320957661809312
242,1.8558892176897746
243,1.808302314672088
244,1.808302314672088
245,1.7845088631632446
246,1.7845088631632446
247,1.7845088631632446
248,1.8320957661809312
249,1.8796826691986177
250,1.903476120707461
251,2.070030281269364
252,2.3079647963577963
253,2.7838338265346616
254,3.378670114255743
255,4.259027820082944
256,5.520080750051636
257,6.852514034546859
258,8.375294931112828
259,9.017718121851596
260,9.184272282413499
261,9.279446088448871
262,9.327032991466558
263,9.374619894484246
264,9.25565263694003
265,8.922544315816223
266,8.494262188657045
267,8.422881834130514
268,8.422881834130514
269,8.375294931112828
270,8.232534222059769
271,8.042186609989022
272,7.80425209490059
273,7.399763419250254
274,6.424231907387681
275,4.972831365348242
276,3.925919498959138
277,3.5214308233088025
278,3.3310832112380564
279,3.1169421476584676
280,2.9503879870965646
281,2.736246923516975
282,2.522105859937386
283,2.3317582478666394
284,2.165204087304737
285,2.093823732778207
286,1.9748564752339905
287,1.8558892176897746
288,1.6655416056190282
289,1.8320957661809312
290,1.8558892176897746
291,1.808302314672088
292,1.808302314672088
293,1.7845088631632446
294,1.7845088631632446
295,1.7845088631632446
296,1.8320957661809312
297,1.8796826691986177
298,1.903476120707461
299,2.070030281269364
300,2.3079647963577963
301,2.7838338265346616
302,3.378670114255743
303,4.259027820082944
304,5.520080750051636
305,6.852514034546859
306,8.375294931112828
307,9.017718121851596
308,9.184272282413499
309,9.279446088448871
310,9.327032991466558
311,9.374619894484246
312,9.25565263694003
313,8.922544315816223
314,8.494262188657045
